date_id,daily_ret
1578,1468.9897
1579,1417.3958
1580,1485.8794
1581,1553.3184
1582,1322.1748
1583,1318.5565
1584,1412.2656
1585,1520.6667
1586,1296.0687
1587,1408.4409
1588,1729.371
1589,1633.5966
1590,1552.3019
1591,1520.46
1592,1469.8466
1593,1579.5128
1594,2057.812
1595,1358.7059
1596,1627.4352
1597,1931.2714
1598,1724.4844
1599,1814.0288
1600,2435.018
1601,2219.7593
1602,1717.2671
1603,1532.1499
1604,1699.2167
1605,1750.486
1606,1698.6329
1607,1804.6365
1608,1680.3364
1609,1745.9553
1610,1519.9972
1611,1770.6943
1612,1710.7792
1613,1575.3373
1614,1473.2712
1615,1486.009
1616,1694.8668
1617,1517.7957
1618,1477.5541
1619,1559.036
1620,1383.0139
1621,1615.0914
1622,1644.659
1623,1680.91
1624,1561.7888
1625,1627.0103
1626,1487.9141
1627,1668.1315
1628,1462.2875
1629,1625.8245
1630,1546.3737
1631,1620.9691
1632,1404.2814
1633,1360.7736
1634,1716.3241
1635,1423.5172
1636,1317.557
1637,1784.7831
1638,1451.0577
1639,1330.7074
1640,962.84485
1641,1478.0865
1642,1433.0284
1643,1122.2046
1644,1269.8057
1645,1360.9941
1646,1327.6765
1647,1169.7446
1648,1151.6135
1649,1202.2816
1650,1214.8586
1651,1294.7863
1652,1210.458
1653,1402.3739
1654,1423.5281
1655,1460.7577
1656,1364.0109
1657,1370.7377
1658,1411.7621
1659,1518.247
1660,1347.8578
1661,1648.422
1662,1622.7969
1663,1607.3174
1664,1875.2793
1665,1691.9736
1666,1716.8588
1667,1595.6725
1668,1724.2622
1669,1378.2802
1670,1540.1124
1671,1393.0657
1672,1544.4573
1673,1610.5985
1674,1555.9567
1675,1315.6432
1676,1377.3054
1677,1210.6797
1678,1393.4169
1679,1486.97
1680,1345.4108
1681,1501.7474
1682,1524.5432
1683,1449.954
1684,1324.799
1685,1747.4999
1686,1354.1368
1687,1268.5165
1688,1162.8722
1689,1269.5735
1690,1301.0319
1691,1320.1401
1692,1466.1895
1693,1398.111
1694,1298.1074
1695,1561.1769
1696,1530.0719
1697,1544.6366
1698,1381.0042
