date_id,r2,n
1578,0.869718218646319,37752
1579,0.8722929401459323,37752
1580,0.8741650270352904,37752
1581,0.8598607879085134,37752
1582,0.8327171875536693,35816
1583,0.8620978231591511,37752
1584,0.8751495406862698,36784
1585,0.8567781833267625,37752
1586,0.8581640717281973,34848
1587,0.8703546509594886,37752
1588,0.884206914231276,36784
1589,0.8703185414421799,37752
1590,0.8754651458957883,37752
1591,0.8800223175056706,37752
1592,0.8575739924379577,37752
1593,0.8641068743938163,33880
1594,0.8708663728390458,36784
1595,0.8556489513226008,37752
1596,0.852751932655346,37752
1597,0.868533619936648,34848
1598,0.8579971733061051,37752
1599,0.86466418627981,36784
1600,0.8543025220059544,34848
1601,0.8595564272172299,36784
1602,0.8723838447053422,35816
1603,0.8653676868339644,35816
1604,0.8806083911595819,37752
1605,0.8829646560912485,37752
1606,0.8775756601500538,37752
1607,0.872487305443402,37752
1608,0.858253743649521,37752
1609,0.860575526503226,37752
1610,0.8494003283289976,37752
1611,0.8428370865709702,37752
1612,0.8662447980986594,36784
1613,0.849173932524561,37752
1614,0.8333742929886797,37752
1615,0.8560835328843001,36784
1616,0.8538363374094136,37752
1617,0.8688268691739056,37752
1618,0.8699585301849801,35816
1619,0.8595106788859448,36784
1620,0.8546931962869075,36784
1621,0.8759812690959736,36784
1622,0.8750051021963392,36784
1623,0.8759399055966752,37752
1624,0.8589410429964712,37752
1625,0.8390056256256584,37752
1626,0.8519055778952167,37752
1627,0.858255939140273,37752
1628,0.8666707140383367,36784
1629,0.8626812901766642,37752
1630,0.8461359608177026,37752
1631,0.8497920798365891,37752
1632,0.8428833408148367,37752
1633,0.8368241697299903,37752
1634,0.8483246689570763,37752
1635,0.8364278801063446,36784
1636,0.8434350729828979,26136
1637,0.8168388124659198,37752
1638,0.8364540309425241,37752
1639,0.8364256937676857,37752
1640,0.8418870159846091,26136
1641,0.8154021380742075,37752
1642,0.8539306691001032,37752
1643,0.859277738904467,37752
1644,0.8545085807347591,37752
1645,0.8540304145861013,37752
1646,0.8463032629842941,37752
1647,0.8429308447784963,37752
1648,0.8468771294441013,37752
1649,0.8682745014325735,37752
1650,0.8647455236761301,37752
1651,0.8739130030389177,37752
1652,0.8656616815766343,37752
1653,0.8512397767099728,37752
1654,0.8565915838825805,37752
1655,0.8736160526771105,37752
1656,0.8327466821067162,37752
1657,0.858615050274774,37752
1658,0.8558864339369595,37752
1659,0.8689608052968447,37752
1660,0.8645871003050238,37752
1661,0.8634667798258937,37752
1662,0.85453499376307,37752
1663,0.8466379241785049,37752
1664,0.8664162615814859,36784
1665,0.8576347237203669,37752
1666,0.8769831542587229,36784
1667,0.8578766376901397,36784
1668,0.8634623423028098,36784
1669,0.8435373906223482,36784
1670,0.8549284263818172,36784
1671,0.8499456509875583,36784
1672,0.8567813934834425,35816
1673,0.8318137618665797,35816
1674,0.8425096849476681,36784
1675,0.8120172273638684,36784
1676,0.851460206552726,36784
1677,0.8447204881163164,36784
1678,0.8514854288381635,37752
1679,0.8634503152839039,37752
1680,0.8672455833656894,37752
1681,0.8712924359778517,36784
1682,0.8701830335031082,36784
1683,0.8664880647880331,37752
1684,0.8612424346047345,37752
1685,0.8754626126450079,37752
1686,0.8482889090817529,37752
1687,0.8607602321022476,37752
1688,0.857554424641953,37752
1689,0.8617168470940403,37752
1690,0.8610050303247752,37752
1691,0.8560486019679203,37752
1692,0.8640966642156886,37752
1693,0.862143732236794,37752
1694,0.8529424737556829,37752
1695,0.8777251326720874,37752
1696,0.8544211702751504,36784
1697,0.8737944360108877,37752
1698,0.8671154121336708,37752
