symbol_id,ridge,xgb
0,-0.0020521228267924574,0.8551957357240603
1,0.002171209439358668,0.8540863007725026
2,0.0032886419519621013,0.8635765680641199
3,-0.0005328661145365121,0.8524938510679338
4,-0.0014511444007725416,0.8683444839004409
5,0.000997112157073543,0.8668387368035578
6,0.0043417237216744065,0.8696113471801193
7,0.0005743710847823102,0.8535731224432552
8,0.0017839584261684083,0.8613255148872094
9,-0.0005805001673599985,0.8640373376834135
10,0.0008281991386915877,0.8252225363021144
11,0.0010919678418404022,0.8400838484525934
12,0.007417894865252572,0.8642483323251879
13,0.00994002462591792,0.8615023310096349
14,0.0031340720714946313,0.8421258492015609
15,-0.0006318801589066947,0.8489681673001039
16,-0.00040790529425205335,0.8578958060593904
17,0.0031304302350093627,0.8530801838136496
18,-0.0013824946407916539,0.8666517074842504
19,0.00477891483438575,0.8491406278957285
20,0.003134069838126474,0.8715866030810842
21,0.006862801558857878,0.8686995226730541
22,0.00644418823222459,0.8562153901506044
23,0.006656560398032418,0.8645340012090659
24,0.008427480069152393,0.8652891205640214
25,0.007037756395444239,0.8595927026517575
26,0.0034016734409281213,0.8619844925935527
27,0.0014621015021683004,0.8668789136983885
28,-0.0012083725259344202,0.8537107654381739
29,0.005333675369057045,0.8684874556211735
30,0.0023122111369220377,0.869665046591634
31,0.006082479873088187,0.862885778964833
32,0.013386263180758085,0.8722769425279748
33,0.0021623341687029285,0.8640974702215847
34,0.001124374285527141,0.8349072244809164
35,0.00442088874982971,0.8688512974620752
36,0.004695732536615593,0.8544585508356501
37,0.004956703102253823,0.8694322897776456
38,0.001265026423603599,0.865922891806757
